Product_ID,Product_Name,Category,Product_Link,Discounted_Price,Actual_Price,Rating,Rating_Count,Reviewers,Reviews
B0CGLP3QSF,Wavytalk Thermal Brush,Beauty & Personal Care$Hair Care,https://www.amazon.com/Bedsure-Comforter-Prewashed-Lightweight-Pillowcases/dp/B0CGLP3QSF?ref=dlx_deals_dg_dcl_B0CGLP3QSF_dt_sl14_0b,$39.97,List Price: $49.99,4.1 out of 5,"2,189 global ratings",Amazon Customer|Amazon Customer|Hsteigs|Olivia O.|Olivia O.|Joci Castillo|Joci Castillo|Happy Shopper|Zoefish|Janel Velez|Norma|Andrea|Mary|Walaa Saad|Bilal Aziz|Bad,"Only hair tool|Effortless Styling|Heats up fast!|Wow! So easy to use, great results!|A Skeptical Lazy Girl's Review|Takes a little bit of practice but it’s absolutely worth it!|works great at first..."
B0CMLPKVRC,CHEFMAN Multifunctional Digital Air Fryer+ Rotisserie,Home & Kitchen$Kitchen & Dining,https://www.amazon.com/CHYRII-Flannel-Shacket-Business-Caramel-7123/dp/B0CMLPKVRC?ref=dlx_deals_dg_dcl_B0CMLPKVRC_dt_sl14_0b,$89.98,List Price: $139.99,4.3 out of 5,"39,814 global ratings","Amazon Customer|Amazon Customer|Nutsfordogs|Austin Clark|Katie Hunt|Yana Estacion|Yana Estacion|D|Logan Johnson|Logan Johnson|J. Tucker|Suresh Sharma|Buen aroma, original|GuySab|AmazonDailyShopper|Yflyer",AWESOME product!|Compact and versatile|Great customer service|Very powerful|Works great!!|Excellent little machine!|Works Great - So Easy to Use
B0CT5N49BH,MEROKEETY Women's 2024 Fall Long Sleeve Cable Knit Sweater Open Front Cardigan Button Loose Outerwear,"Clothing, Shoes & Jewelry$Women",https://www.amazon.com/Rugcomf-Machine-Washable-Farmhouse-Playroom/dp/B0CT5N49BH?ref=dlx_deals_dg_dcl_B0CT5N49BH_dt_sl14_0b,,,4.5 out of 5,"25,453 global ratings",Amazon Customer|Amazon Customer|Federica|Julie Sizemore|karen|Kris|Ashleigh M.|Amazon Customer|Gayla|KALM|roxane girard|Franziska Rottmann|Marney|Linda|Yes,Cozy and Stylish: A Must-Have Women's Sweater|Love this sweater!|Great Cardigan!|Comfortable sweater|Good basic cardigan.|Great quality and fit|Nice sweater|Why Would You Shrink-Wrap a Cable Knit Sweater?
B0CL5TJWLF,Glocusent USB Rechargeable Book Light for Reading in Bed,Tools & Home Improvement$Lighting & Ceiling Fans,https://www.amazon.com/Wavytalk-Thermal-Creates-Blowout-Smoother/dp/B0CL5TJWLF?ref=dlx_deals_dg_dcl_B0CL5TJWLF_dt_sl14_0b,$12.39,List Price: $22.99,4.7 out of 5,"18,194 global ratings",Amazon Customer|Amazon Customer|Daxxa1979|Thudfinger|Mike Skrzynski|Greg R.|BookFan|K. Byrn|K. Byrn|Aloha girl|April|April|Ariel W|Amapola Rangel|Tilda|ozan eriçok|Sabrina L.,Works great. Lasting charge. Swivel head is great. Very bright.|Excellent book light|Incredibly useful reading light|Versatile|Super convenient!|Small light with lots of options.|Wonderful book light|Overall great book light
B08DL8WH9V,ANRABESS Women Long Sleeve Crewneck Rib Knit Slim Fit Shirts Basic Tee Tops 2024 Casual T-Shirt Going Out Workout Outfits,"Clothing, Shoes & Jewelry$Women",https://www.amazon.com/CHEFMAN-Multifunction-Rotisserie-Dehydrator-Convection/dp/B08DL8WH9V?ref=dlx_deals_dg_dcl_B08DL8WH9V_dt_sl14_0b,,,4.5 out of 5,80 global ratings,Amazon Customer|Amazon Customer|Melissa|WendyLee|Amazon Customer|Michael K.|Victoria A.|Victoria A.|M|Felicia’s reviews|Derrick minnick,"The perfect flattering basic! I ordered all the colors as soon as I opened|Soft & comfortable ribbed shirt!|Nice shirt|Love these shirts|Trendy, versatile and nice quality|Thick, soft.|Thin and soft. Sizing runs very small.|Very picky"
B0957WLKHQ,BRONAX Pillow Slippers for Women and Men | House Slides Shower Sandals | Cushioned Thick Sole,"Clothing, Shoes & Jewelry$Men",https://www.amazon.com/MEROKEETY-Womens-Sweater-Cardigan-Outerwear/dp/B0957WLKHQ?ref=dlx_deals_dg_dcl_B0957WLKHQ_dt_sl14_0b,,,4.3 out of 5,"51,500 global ratings",Amazon Customer|Amazon Customer|Fairyfofairy|EZ Shops|Mimi Allen|Mimi Allen|Maddie Gilles|Kaylee Gardner|RiffDiva|AC Smith|Gjo Garcia|Francisco Mijangos|Lu|Brandie S.|Maninder|Maninder|Amanda|Amanda,"Works well!|Good cushion, comfortable for Men|Walking On Pillows|Most comfortable sandal!|Great slides|Comfy house slippers|Pillowy but rubbery|Super comfy, love the thick strap, a tidge loose for narrow feet"
B09W62FR1K,Bedsure Queen Comforter Set - 7 Pieces Reversible Comforters Queen Size Bed Set Bed in a Bag with Comforter,Home & Kitchen$Bedding,https://www.amazon.com/Glocusent-Rechargeable-Portable-Brightness-Dimmable/dp/B09W62FR1K?ref=dlx_deals_dg_dcl_B09W62FR1K_dt_sl14_0b,$31.18,List Price $54.99,4.5 out of 5,"24,874 global ratings",Amazon Customer|Amazon Customer|Vicktoria Lucena|Tracy|Tracy|Erin Humphreys|Nicole Endy|Nicole Endy|Hannah|Miss_Rose|Suzzyq007|Suzzyq007|Kindle Customer|Gloria|Fanny RM|Felipe Roman Salgado|Jojo|Remi Martínez Mandujano,"Complete Comfort and Style in One Package!|Stylish and Cozy – Perfect for a Modern Bedroom|Mostly what I was hoping for|Soft, Comfortable and Perfect|Soft and Comfortable|Bought 3, no regrets!|Love the color, stitching is TEMU value|Doesn’t have longevity. Please read whole review"
B0CYZLWNL6,Standing Desk Adjustable Height,Home & Kitchen$Furniture,https://www.amazon.com/ANRABESS-Crewneck-T-Shirt-Workout-Outfits/dp/B0CYZLWNL6?ref=dlx_deals_dg_dcl_B0CYZLWNL6_dt_sl14_0b,$66.49,List Price $699.99,4.7 out of 5,"1,070 global ratings",Amazon Customer|Amazon Customer|Tiam Davies|Loria|MM|jaime w.|Carol|Sondra|Jessica|Jessica|Kindle Customer|Kindle Customer,Great desk! Love it!|Fantastic Desk!!!|just as described|Perfect adjustable standing desk!|Great Purchase|Great to Use with Walking Pad|The Superior Treadmill Desk|Absolutely perfect for holding my computer when I use my treadmill
B092QWYYQ9,ANRABESS Women Long Sleeve Crewneck Rib Knit Slim Fit Shirts Basic Tee Tops 2024 Casual T-Shirt Going Out Workout Outfits,"Clothing, Shoes & Jewelry$Women",https://www.amazon.com/BRONAX-Slippers-Non-Slip-Bathroom-Sandals/dp/B092QWYYQ9?ref=dlx_deals_dg_dcl_B092QWYYQ9_dt_sl14_0b,,,4.5 out of 5,80 global ratings,Amazon Customer|Amazon Customer|Melissa|WendyLee|Amazon Customer|Michael K.|Victoria A.|Victoria A.|M|Felicia’s reviews|Derrick minnick,"The perfect flattering basic! I ordered all the colors as soon as I opened|Soft & comfortable ribbed shirt!|Nice shirt|Love these shirts|Trendy, versatile and nice quality|Thick, soft.|Thin and soft. Sizing runs very small.|Very picky"
B07R4659ZY,ANRABESS Women's Long Cardigan Sweater 2024 Fall Fashion Casual Oversized Knit Open Front Coatigan Jacket Coat Trendy Outfits,"Clothing, Shoes & Jewelry$Women",https://www.amazon.com/Bedsure-Pieces-Queen-Size-Light/dp/B07R4659ZY?ref=dlx_deals_dg_dcl_B07R4659ZY_dt_sl14_0b,,,4.1 out of 5,"4,470 global ratings","Amazon Customer|Amazon Customer|Jesse Johnson|Linda P|bcnc|KAnderson|karen ard|M.O.|TLH|Ronda|Gigi|This cardigan is awful, does not look anything like the picture. I’m so disappointed.it’s so light weight and the colour is not good.|Jennifer|Anne|Jody","This is a gorgeous sweater! Great price and fits true to size|Trendy|OLIVE color is more Grey|Beautiful and So Soft|Material|Soft, comfy, thick, warm, happy|Soft but substantial|It Is OK"
